No,Features,Description
1,var_1_tBodyAcc-mean()-X,Original features: tBodyAcc-mean()-X . (Feature No: 1 )
2,var_2_tBodyAcc-mean()-Y,Original features: tBodyAcc-mean()-Y . (Feature No: 2 )
3,var_3_tBodyAcc-mean()-Z,Original features: tBodyAcc-mean()-Z . (Feature No: 3 )
4,var_4_tBodyAcc-std()-X,Original features: tBodyAcc-std()-X . (Feature No: 4 )
5,var_5_tBodyAcc-std()-Y,Original features: tBodyAcc-std()-Y . (Feature No: 5 )
6,var_6_tBodyAcc-std()-Z,Original features: tBodyAcc-std()-Z . (Feature No: 6 )
7,var_7_tBodyAcc-mad()-X,Original features: tBodyAcc-mad()-X . (Feature No: 7 )
8,var_8_tBodyAcc-mad()-Y,Original features: tBodyAcc-mad()-Y . (Feature No: 8 )
9,var_9_tBodyAcc-mad()-Z,Original features: tBodyAcc-mad()-Z . (Feature No: 9 )
10,var_10_tBodyAcc-max()-X,Original features: tBodyAcc-max()-X . (Feature No: 10 )
11,var_11_tBodyAcc-max()-Y,Original features: tBodyAcc-max()-Y . (Feature No: 11 )
12,var_12_tBodyAcc-max()-Z,Original features: tBodyAcc-max()-Z . (Feature No: 12 )
13,var_13_tBodyAcc-min()-X,Original features: tBodyAcc-min()-X . (Feature No: 13 )
14,var_14_tBodyAcc-min()-Y,Original features: tBodyAcc-min()-Y . (Feature No: 14 )
15,var_15_tBodyAcc-min()-Z,Original features: tBodyAcc-min()-Z . (Feature No: 15 )
16,var_16_tBodyAcc-sma(),Original features: tBodyAcc-sma() . (Feature No: 16 )
17,var_17_tBodyAcc-energy()-X,Original features: tBodyAcc-energy()-X . (Feature No: 17 )
18,var_18_tBodyAcc-energy()-Y,Original features: tBodyAcc-energy()-Y . (Feature No: 18 )
19,var_19_tBodyAcc-energy()-Z,Original features: tBodyAcc-energy()-Z . (Feature No: 19 )
20,var_20_tBodyAcc-iqr()-X,Original features: tBodyAcc-iqr()-X . (Feature No: 20 )
21,var_21_tBodyAcc-iqr()-Y,Original features: tBodyAcc-iqr()-Y . (Feature No: 21 )
22,var_22_tBodyAcc-iqr()-Z,Original features: tBodyAcc-iqr()-Z . (Feature No: 22 )
23,var_23_tBodyAcc-entropy()-X,Original features: tBodyAcc-entropy()-X . (Feature No: 23 )
24,var_24_tBodyAcc-entropy()-Y,Original features: tBodyAcc-entropy()-Y . (Feature No: 24 )
25,var_25_tBodyAcc-entropy()-Z,Original features: tBodyAcc-entropy()-Z . (Feature No: 25 )
26,"var_26_tBodyAcc-arCoeff()-X,1","Original features: tBodyAcc-arCoeff()-X,1 . (Feature No: 26 )"
27,"var_27_tBodyAcc-arCoeff()-X,2","Original features: tBodyAcc-arCoeff()-X,2 . (Feature No: 27 )"
28,"var_28_tBodyAcc-arCoeff()-X,3","Original features: tBodyAcc-arCoeff()-X,3 . (Feature No: 28 )"
29,"var_29_tBodyAcc-arCoeff()-X,4","Original features: tBodyAcc-arCoeff()-X,4 . (Feature No: 29 )"
30,"var_30_tBodyAcc-arCoeff()-Y,1","Original features: tBodyAcc-arCoeff()-Y,1 . (Feature No: 30 )"
31,"var_31_tBodyAcc-arCoeff()-Y,2","Original features: tBodyAcc-arCoeff()-Y,2 . (Feature No: 31 )"
32,"var_32_tBodyAcc-arCoeff()-Y,3","Original features: tBodyAcc-arCoeff()-Y,3 . (Feature No: 32 )"
33,"var_33_tBodyAcc-arCoeff()-Y,4","Original features: tBodyAcc-arCoeff()-Y,4 . (Feature No: 33 )"
34,"var_34_tBodyAcc-arCoeff()-Z,1","Original features: tBodyAcc-arCoeff()-Z,1 . (Feature No: 34 )"
35,"var_35_tBodyAcc-arCoeff()-Z,2","Original features: tBodyAcc-arCoeff()-Z,2 . (Feature No: 35 )"
36,"var_36_tBodyAcc-arCoeff()-Z,3","Original features: tBodyAcc-arCoeff()-Z,3 . (Feature No: 36 )"
37,"var_37_tBodyAcc-arCoeff()-Z,4","Original features: tBodyAcc-arCoeff()-Z,4 . (Feature No: 37 )"
38,"var_38_tBodyAcc-correlation()-X,Y","Original features: tBodyAcc-correlation()-X,Y . (Feature No: 38 )"
39,"var_39_tBodyAcc-correlation()-X,Z","Original features: tBodyAcc-correlation()-X,Z . (Feature No: 39 )"
40,"var_40_tBodyAcc-correlation()-Y,Z","Original features: tBodyAcc-correlation()-Y,Z . (Feature No: 40 )"
41,var_41_tGravityAcc-mean()-X,Original features: tGravityAcc-mean()-X . (Feature No: 41 )
42,var_42_tGravityAcc-mean()-Y,Original features: tGravityAcc-mean()-Y . (Feature No: 42 )
43,var_43_tGravityAcc-mean()-Z,Original features: tGravityAcc-mean()-Z . (Feature No: 43 )
44,var_44_tGravityAcc-std()-X,Original features: tGravityAcc-std()-X . (Feature No: 44 )
45,var_45_tGravityAcc-std()-Y,Original features: tGravityAcc-std()-Y . (Feature No: 45 )
46,var_46_tGravityAcc-std()-Z,Original features: tGravityAcc-std()-Z . (Feature No: 46 )
47,var_47_tGravityAcc-mad()-X,Original features: tGravityAcc-mad()-X . (Feature No: 47 )
48,var_48_tGravityAcc-mad()-Y,Original features: tGravityAcc-mad()-Y . (Feature No: 48 )
49,var_49_tGravityAcc-mad()-Z,Original features: tGravityAcc-mad()-Z . (Feature No: 49 )
50,var_50_tGravityAcc-max()-X,Original features: tGravityAcc-max()-X . (Feature No: 50 )
51,var_51_tGravityAcc-max()-Y,Original features: tGravityAcc-max()-Y . (Feature No: 51 )
52,var_52_tGravityAcc-max()-Z,Original features: tGravityAcc-max()-Z . (Feature No: 52 )
53,var_53_tGravityAcc-min()-X,Original features: tGravityAcc-min()-X . (Feature No: 53 )
54,var_54_tGravityAcc-min()-Y,Original features: tGravityAcc-min()-Y . (Feature No: 54 )
55,var_55_tGravityAcc-min()-Z,Original features: tGravityAcc-min()-Z . (Feature No: 55 )
56,var_56_tGravityAcc-sma(),Original features: tGravityAcc-sma() . (Feature No: 56 )
57,var_57_tGravityAcc-energy()-X,Original features: tGravityAcc-energy()-X . (Feature No: 57 )
58,var_58_tGravityAcc-energy()-Y,Original features: tGravityAcc-energy()-Y . (Feature No: 58 )
59,var_59_tGravityAcc-energy()-Z,Original features: tGravityAcc-energy()-Z . (Feature No: 59 )
60,var_60_tGravityAcc-iqr()-X,Original features: tGravityAcc-iqr()-X . (Feature No: 60 )
61,var_61_tGravityAcc-iqr()-Y,Original features: tGravityAcc-iqr()-Y . (Feature No: 61 )
62,var_62_tGravityAcc-iqr()-Z,Original features: tGravityAcc-iqr()-Z . (Feature No: 62 )
63,var_63_tGravityAcc-entropy()-X,Original features: tGravityAcc-entropy()-X . (Feature No: 63 )
64,var_64_tGravityAcc-entropy()-Y,Original features: tGravityAcc-entropy()-Y . (Feature No: 64 )
65,var_65_tGravityAcc-entropy()-Z,Original features: tGravityAcc-entropy()-Z . (Feature No: 65 )
66,"var_66_tGravityAcc-arCoeff()-X,1","Original features: tGravityAcc-arCoeff()-X,1 . (Feature No: 66 )"
67,"var_67_tGravityAcc-arCoeff()-X,2","Original features: tGravityAcc-arCoeff()-X,2 . (Feature No: 67 )"
68,"var_68_tGravityAcc-arCoeff()-X,3","Original features: tGravityAcc-arCoeff()-X,3 . (Feature No: 68 )"
69,"var_69_tGravityAcc-arCoeff()-X,4","Original features: tGravityAcc-arCoeff()-X,4 . (Feature No: 69 )"
70,"var_70_tGravityAcc-arCoeff()-Y,1","Original features: tGravityAcc-arCoeff()-Y,1 . (Feature No: 70 )"
71,"var_71_tGravityAcc-arCoeff()-Y,2","Original features: tGravityAcc-arCoeff()-Y,2 . (Feature No: 71 )"
72,"var_72_tGravityAcc-arCoeff()-Y,3","Original features: tGravityAcc-arCoeff()-Y,3 . (Feature No: 72 )"
73,"var_73_tGravityAcc-arCoeff()-Y,4","Original features: tGravityAcc-arCoeff()-Y,4 . (Feature No: 73 )"
74,"var_74_tGravityAcc-arCoeff()-Z,1","Original features: tGravityAcc-arCoeff()-Z,1 . (Feature No: 74 )"
75,"var_75_tGravityAcc-arCoeff()-Z,2","Original features: tGravityAcc-arCoeff()-Z,2 . (Feature No: 75 )"
76,"var_76_tGravityAcc-arCoeff()-Z,3","Original features: tGravityAcc-arCoeff()-Z,3 . (Feature No: 76 )"
77,"var_77_tGravityAcc-arCoeff()-Z,4","Original features: tGravityAcc-arCoeff()-Z,4 . (Feature No: 77 )"
78,"var_78_tGravityAcc-correlation()-X,Y","Original features: tGravityAcc-correlation()-X,Y . (Feature No: 78 )"
79,"var_79_tGravityAcc-correlation()-X,Z","Original features: tGravityAcc-correlation()-X,Z . (Feature No: 79 )"
80,"var_80_tGravityAcc-correlation()-Y,Z","Original features: tGravityAcc-correlation()-Y,Z . (Feature No: 80 )"
81,var_81_tBodyAccJerk-mean()-X,Original features: tBodyAccJerk-mean()-X . (Feature No: 81 )
82,var_82_tBodyAccJerk-mean()-Y,Original features: tBodyAccJerk-mean()-Y . (Feature No: 82 )
83,var_83_tBodyAccJerk-mean()-Z,Original features: tBodyAccJerk-mean()-Z . (Feature No: 83 )
84,var_84_tBodyAccJerk-std()-X,Original features: tBodyAccJerk-std()-X . (Feature No: 84 )
85,var_85_tBodyAccJerk-std()-Y,Original features: tBodyAccJerk-std()-Y . (Feature No: 85 )
86,var_86_tBodyAccJerk-std()-Z,Original features: tBodyAccJerk-std()-Z . (Feature No: 86 )
87,var_87_tBodyAccJerk-mad()-X,Original features: tBodyAccJerk-mad()-X . (Feature No: 87 )
88,var_88_tBodyAccJerk-mad()-Y,Original features: tBodyAccJerk-mad()-Y . (Feature No: 88 )
89,var_89_tBodyAccJerk-mad()-Z,Original features: tBodyAccJerk-mad()-Z . (Feature No: 89 )
90,var_90_tBodyAccJerk-max()-X,Original features: tBodyAccJerk-max()-X . (Feature No: 90 )
91,var_91_tBodyAccJerk-max()-Y,Original features: tBodyAccJerk-max()-Y . (Feature No: 91 )
92,var_92_tBodyAccJerk-max()-Z,Original features: tBodyAccJerk-max()-Z . (Feature No: 92 )
93,var_93_tBodyAccJerk-min()-X,Original features: tBodyAccJerk-min()-X . (Feature No: 93 )
94,var_94_tBodyAccJerk-min()-Y,Original features: tBodyAccJerk-min()-Y . (Feature No: 94 )
95,var_95_tBodyAccJerk-min()-Z,Original features: tBodyAccJerk-min()-Z . (Feature No: 95 )
96,var_96_tBodyAccJerk-sma(),Original features: tBodyAccJerk-sma() . (Feature No: 96 )
97,var_97_tBodyAccJerk-energy()-X,Original features: tBodyAccJerk-energy()-X . (Feature No: 97 )
98,var_98_tBodyAccJerk-energy()-Y,Original features: tBodyAccJerk-energy()-Y . (Feature No: 98 )
99,var_99_tBodyAccJerk-energy()-Z,Original features: tBodyAccJerk-energy()-Z . (Feature No: 99 )
100,var_100_tBodyAccJerk-iqr()-X,Original features: tBodyAccJerk-iqr()-X . (Feature No: 100 )
101,var_101_tBodyAccJerk-iqr()-Y,Original features: tBodyAccJerk-iqr()-Y . (Feature No: 101 )
102,var_102_tBodyAccJerk-iqr()-Z,Original features: tBodyAccJerk-iqr()-Z . (Feature No: 102 )
103,var_103_tBodyAccJerk-entropy()-X,Original features: tBodyAccJerk-entropy()-X . (Feature No: 103 )
104,var_104_tBodyAccJerk-entropy()-Y,Original features: tBodyAccJerk-entropy()-Y . (Feature No: 104 )
105,var_105_tBodyAccJerk-entropy()-Z,Original features: tBodyAccJerk-entropy()-Z . (Feature No: 105 )
106,"var_106_tBodyAccJerk-arCoeff()-X,1","Original features: tBodyAccJerk-arCoeff()-X,1 . (Feature No: 106 )"
107,"var_107_tBodyAccJerk-arCoeff()-X,2","Original features: tBodyAccJerk-arCoeff()-X,2 . (Feature No: 107 )"
108,"var_108_tBodyAccJerk-arCoeff()-X,3","Original features: tBodyAccJerk-arCoeff()-X,3 . (Feature No: 108 )"
109,"var_109_tBodyAccJerk-arCoeff()-X,4","Original features: tBodyAccJerk-arCoeff()-X,4 . (Feature No: 109 )"
110,"var_110_tBodyAccJerk-arCoeff()-Y,1","Original features: tBodyAccJerk-arCoeff()-Y,1 . (Feature No: 110 )"
111,"var_111_tBodyAccJerk-arCoeff()-Y,2","Original features: tBodyAccJerk-arCoeff()-Y,2 . (Feature No: 111 )"
112,"var_112_tBodyAccJerk-arCoeff()-Y,3","Original features: tBodyAccJerk-arCoeff()-Y,3 . (Feature No: 112 )"
113,"var_113_tBodyAccJerk-arCoeff()-Y,4","Original features: tBodyAccJerk-arCoeff()-Y,4 . (Feature No: 113 )"
114,"var_114_tBodyAccJerk-arCoeff()-Z,1","Original features: tBodyAccJerk-arCoeff()-Z,1 . (Feature No: 114 )"
115,"var_115_tBodyAccJerk-arCoeff()-Z,2","Original features: tBodyAccJerk-arCoeff()-Z,2 . (Feature No: 115 )"
116,"var_116_tBodyAccJerk-arCoeff()-Z,3","Original features: tBodyAccJerk-arCoeff()-Z,3 . (Feature No: 116 )"
117,"var_117_tBodyAccJerk-arCoeff()-Z,4","Original features: tBodyAccJerk-arCoeff()-Z,4 . (Feature No: 117 )"
118,"var_118_tBodyAccJerk-correlation()-X,Y","Original features: tBodyAccJerk-correlation()-X,Y . (Feature No: 118 )"
119,"var_119_tBodyAccJerk-correlation()-X,Z","Original features: tBodyAccJerk-correlation()-X,Z . (Feature No: 119 )"
